age_months,sex,area,normal,warning,low
21.0,M,LA,14,10,6
21.0,F,SO,17,12,8
21.0,F,SE,21,16,13
21.0,F,GR,16,13,10
21.0,F,FI,13,10,8
21.0,F,EX,18,12,8
21.0,F,LA,16,11,7
21.5,M,SO,15,10,6
21.5,M,SE,19,15,11
21.5,M,GR,16,13,10
21.5,M,FI,13,10,8
21.5,M,EX,15,10,6
21.5,M,LA,15,10,6
21.5,F,SO,18,12,8
21.5,F,SE,21,17,13
21.5,F,GR,16,13,11
21.5,F,FI,13,11,8
21.5,F,EX,19,12,8
21.5,F,LA,17,11,8
22.0,M,SO,16,10,6
22.0,M,SE,20,15,12
22.0,M,GR,16,13,11
22.0,M,FI,13,10,8
22.0,M,EX,16,10,7
22.0,M,LA,15,11,7
22.0,F,SO,18,13,8
22.0,F,SE,22,17,14
22.0,F,GR,16,13,11
22.0,F,FI,13,11,9
22.0,F,EX,20,13,8
22.0,F,LA,17,12,8
22.5,M,SO,17,10,7
22.5,M,SE,20,16,12
22.5,M,GR,17,13,11
22.5,M,FI,13,10,8
22.5,M,EX,16,11,7
22.5,M,LA,16,11,7
22.5,F,SO,19,13,9
22.5,F,SE,22,18,14
22.5,F,GR,16,13,11
22.5,F,FI,13,11,9
22.5,F,EX,20,13,9
22.5,F,LA,18,12,8
23.0,M,SO,17,11,7
23.0,M,SE,21,16,12
23.0,M,GR,17,13,11
23.0,M,FI,13,11,8
23.0,M,EX,17,11,7
23.0,M,LA,16,11,7
23.0,F,SO,19,13,9
23.0,F,SE,23,18,15
23.0,F,GR,17,14,11
23.0,F,FI,14,11,9
23.0,F,EX,21,13,9
23.0,F,LA,18,12,9
23.5,M,SO,18,11,7
23.5,M,SE,21,17,13
23.5,M,GR,17,14,11
23.5,M,FI,14,11,8
23.5,M,EX,17,11,7
23.5,M,LA,16,11,7
23.5,F,SO,20,14,9
23.5,F,SE,23,19,15
23.5,F,GR,17,14,11
23.5,F,FI,14,12,9
23.5,F,EX,21,14,9
23.5,F,LA,18,13,9
24.0,M,SO,18,12,8
24.0,M,SE,21,17,13
24.0,M,GR,17,14,12
24.0,M,FI,14,11,9
24.0,M,EX,18,11,8
24.0,M,LA,17,12,7
24.0,F,SO,20,14,10
24.0,F,SE,24,19,16
24.0,F,GR,17,14,12
24.0,F,FI,14,12,10
24.0,F,EX,21,14,10
24.0,F,LA,19,13,9
24.5,M,SO,18,12,8
24.5,M,SE,22,18,13
24.5,M,GR,18,14,12
24.5,M,FI,14,11,9
24.5,M,EX,18,12,8
24.5,M,LA,17,12,8
24.5,F,SO,20,14,10
24.5,F,SE,24,19,16
24.5,F,GR,18,14,12
24.5,F,FI,15,12,10
24.5,F,EX,22,15,10
24.5,F,LA,19,13,10
25.0,M,SO,19,12,8
25.0,M,SE,22,18,14
25.0,M,GR,18,15,12
25.0,M,FI,14,12,9
25.0,M,EX,18,12,8
25.0,M,LA,17,12,8
25.0,F,SO,21,15,11
25.0,F,SE,24,20,17
25.0,F,GR,18,15,12
25.0,F,FI,15,12,10
25.0,F,EX,22,15,10
25.0,F,LA,20,14,10
25.5,M,SO,19,13,8
25.5,M,SE,22,18,14
25.5,M,GR,18,15,13
25.5,M,FI,14,12,9
25.5,M,EX,19,12,9
25.5,M,LA,18,13,8
25.5,F,SO,21,15,12
25.5,F,SE,25,20,17
25.5,F,GR,19,15,12
25.5,F,FI,15,12,10
25.5,F,EX,23,16,11
25.5,F,LA,20,14,10
26.0,M,SO,19,13,9
26.0,M,SE,23,19,15
26.0,M,GR,18,15,13
26.0,M,FI,15,12,9
26.0,M,EX,19,13,9
26.0,M,LA,18,13,8
26.0,F,SO,22,16,12
26.0,F,SE,25,20,17
26.0,F,GR,19,15,13
26.0,F,FI,15,13,10
26.0,F,EX,24,17,11
26.0,F,LA,21,15,11
26.5,M,SO,20,13,9
26.5,M,SE,23,19,15
26.5,M,GR,19,16,13
26.5,M,FI,15,12,10
26.5,M,EX,20,13,9
26.5,M,LA,19,13,9
26.5,F,SO,22,17,13
26.5,F,SE,25,21,18
26.5,F,GR,19,15,13
26.5,F,FI,16,13,11
26.5,F,EX,25,17,12
26.5,F,LA,22,15,11
27.0,M,SO,20,14,9
27.0,M,SE,24,19,16
27.0,M,GR,19,16,13
27.0,M,FI,15,12,10
27.0,M,EX,20,13,9
27.0,M,LA,19,14,9
27.0,F,SO,23,17,13
27.0,F,SE,25,21,18
27.0,F,GR,20,16,13
27.0,F,FI,16,13,11
27.0,F,EX,26,18,12
27.0,F,LA,23,16,12
27.5,M,SO,20,14,10
27.5,M,SE,24,20,16
27.5,M,GR,19,16,14
27.5,M,FI,15,13,10
27.5,M,EX,21,14,10
27.5,M,LA,20,14,9
27.5,F,SO,23,18,14
27.5,F,SE,26,21,18
27.5,F,GR,20,16,13
27.5,F,FI,16,13,11
27.5,F,EX,26,18,13
27.5,F,LA,24,17,12
28.0,M,SO,21,14,10
28.0,M,SE,25,20,16
28.0,M,GR,20,16,14
28.0,M,FI,16,13,10
28.0,M,EX,21,14,10
28.0,M,LA,20,14,10
28.0,F,SO,24,18,14
28.0,F,SE,26,21,19
28.0,F,GR,20,16,14
28.0,F,FI,16,14,11
28.0,F,EX,27,19,14
28.0,F,LA,24,17,13
28.5,M,SO,21,15,10
28.5,M,SE,25,20,17
28.5,M,GR,20,17,14
28.5,M,FI,16,13,10
28.5,M,EX,22,15,10
28.5,M,LA,21,15,10
28.5,F,SO,24,18,14
28.5,F,SE,26,22,19
28.5,F,GR,20,16,14
28.5,F,FI,17,14,11
28.5,F,EX,27,19,14
28.5,F,LA,25,18,13
29.0,M,SO,21,15,11
29.0,M,SE,25,20,17
29.0,M,GR,20,17,14
29.0,M,FI,16,13,11
29.0,M,EX,23,15,11
29.0,M,LA,22,15,10
29.0,F,SO,25,19,15
29.0,F,SE,27,22,19
29.0,F,GR,21,17,14
29.0,F,FI,17,14,12
29.0,F,EX,28,20,15
29.0,F,LA,25,18,14
29.5,M,SO,22,16,11
29.5,M,SE,26,21,17
29.5,M,GR,21,17,15
29.5,M,FI,17,14,11
29.5,M,EX,24,16,11
29.5,M,LA,23,15,11
29.5,F,SO,25,19,15
29.5,F,SE,27,22,19
29.5,F,GR,21,17,14
29.5,F,FI,17,14,12
29.5,F,EX,28,20,15
29.5,F,LA,26,19,14
30.0,M,SO,22,16,12
30.0,M,SE,26,21,18
30.0,M,GR,21,17,15
30.0,M,FI,17,14,11
30.0,M,EX,25,16,11
30.0,M,LA,23,16,11
30.0,F,SO,26,19,15
30.0,F,SE,28,23,20
30.0,F,GR,21,17,14
30.0,F,FI,18,14,12
30.0,F,EX,29,21,15
30.0,F,LA,26,19,14
30.5,M,SO,23,17,12
30.5,M,SE,26,21,18
30.5,M,GR,21,18,15
30.5,M,FI,17,14,11
30.5,M,EX,25,17,12
30.5,M,LA,24,16,12
30.5,F,SO,26,20,16
30.5,F,SE,28,23,20
30.5,F,GR,21,17,15
30.5,F,FI,18,15,12
30.5,F,EX,29,21,16
30.5,F,LA,27,19,15
31.0,M,SO,24,17,13
31.0,M,SE,27,22,19
31.0,M,GR,21,18,15
31.0,M,FI,18,14,12
31.0,M,EX,26,17,12
31.0,M,LA,24,16,12
31.0,F,SO,27,20,16
31.0,F,SE,28,23,20
31.0,F,GR,21,17,15
31.0,F,FI,18,15,12
31.0,F,EX,30,22,16
31.0,F,LA,27,20,15
31.5,M,SO,24,18,13
31.5,M,SE,27,22,19
31.5,M,GR,22,18,16
31.5,M,FI,18,15,12
31.5,M,EX,26,18,12
31.5,M,LA,25,17,12
31.5,F,SO,27,20,16
31.5,F,SE,29,23,20
31.5,F,GR,22,18,15
31.5,F,FI,19,15,12
31.5,F,EX,30,22,16
31.5,F,LA,28,20,15
32.0,M,SO,25,18,14
32.0,M,SE,27,23,20
32.0,M,GR,22,18,16
32.0,M,FI,18,15,12
32.0,M,EX,27,18,13
32.0,M,LA,26,17,13
32.0,F,SO,28,21,17
32.0,F,SE,29,24,20
32.0,F,GR,22,18,15
32.0,F,FI,19,15,13
32.0,F,EX,30,22,17
32.0,F,LA,29,21,16
32.5,M,SO,25,19,14
32.5,M,SE,28,23,20
32.5,M,GR,22,18,16
32.5,M,FI,18,15,12
32.5,M,EX,27,19,13
32.5,M,LA,26,18,13
32.5,F,SO,28,21,17
32.5,F,SE,29,24,21
32.5,F,GR,22,18,15
32.5,F,FI,19,15,13
32.5,F,EX,31,23,17
32.5,F,LA,29,21,16
33.0,M,SO,25,19,14
33.0,M,SE,28,24,20
33.0,M,GR,22,19,16
33.0,M,FI,19,15,13
33.0,M,EX,28,19,14
33.0,M,LA,27,18,14
33.0,F,SO,29,22,18
33.0,F,SE,29,24,21
33.0,F,GR,22,18,16
33.0,F,FI,19,16,13
33.0,F,EX,31,23,17
33.0,F,LA,30,22,17
33.5,M,SO,26,19,15
33.5,M,SE,28,24,21
33.5,M,GR,23,19,16
33.5,M,FI,19,16,13
33.5,M,EX,28,20,14
33.5,M,LA,27,19,14
33.5,F,SO,29,23,18
33.5,F,SE,30,25,21
33.5,F,GR,22,19,16
33.5,F,FI,20,16,13
33.5,F,EX,31,23,18
33.5,F,LA,30,22,17
34.0,M,SO,26,20,15
34.0,M,SE,29,24,21
34.0,M,GR,23,19,17
34.0,M,FI,19,16,13
34.0,M,EX,28,20,15
34.0,M,LA,28,19,15
34.0,F,SO,29,23,19
34.0,F,SE,30,25,21
34.0,F,GR,23,19,16
34.0,F,FI,20,16,13
34.0,F,EX,32,24,18
34.0,F,LA,31,22,17
34.5,M,SO,26,20,15
34.5,M,SE,29,25,21
34.5,M,GR,23,19,17
34.5,M,FI,19,16,13
34.5,M,EX,29,21,15
34.5,M,LA,28,20,15
34.5,F,SO,30,24,19
34.5,F,SE,30,25,22
34.5,F,GR,23,19,16
34.5,F,FI,20,16,14
34.5,F,EX,32,24,19
34.5,F,LA,31,23,18
35.0,M,SO,26,20,15
35.0,M,SE,29,25,22
35.0,M,GR,23,19,17
35.0,M,FI,20,16,13
35.0,M,EX,29,21,16
35.0,M,LA,29,20,16
35.0,F,SO,30,24,20
35.0,F,SE,30,25,22
35.0,F,GR,23,19,17
35.0,F,FI,20,16,14
35.0,F,EX,32,25,20
35.0,F,LA,31,23,18
35.5,M,SO,27,20,16
35.5,M,SE,30,25,22
35.5,M,GR,23,20,17
35.5,M,FI,20,16,14
35.5,M,EX,30,22,17
35.5,M,LA,29,21,16
35.5,F,SO,31,25,20
35.5,F,SE,31,26,22
35.5,F,GR,23,19,17
35.5,F,FI,21,17,14
35.5,F,EX,33,25,20
35.5,F,LA,32,24,19
36.0,M,SO,27,21,16
36.0,M,SE,30,25,22
36.0,M,GR,24,20,18
36.0,M,FI,20,17,14
36.0,M,EX,30,23,18
36.0,M,LA,30,22,17
36.0,F,SO,31,25,20
36.0,F,SE,31,26,22
36.0,F,GR,23,20,17
36.0,F,FI,21,17,14
36.0,F,EX,33,25,21
36.0,F,LA,32,25,20
36.5,M,SO,27,21,16
36.5,M,SE,30,26,22
36.5,M,GR,24,20,18
36.5,M,FI,20,17,14
36.5,M,EX,31,23,19
36.5,M,LA,30,23,18
36.5,F,SO,32,26,21
36.5,F,SE,31,26,23
36.5,F,GR,24,20,17
36.5,F,FI,21,17,15
36.5,F,EX,33,26,21
36.5,F,LA,32,26,21
37.0,M,SO,28,21,17
37.0,M,SE,30,26,23
37.0,M,GR,24,20,18
37.0,M,FI,21,17,14
37.0,M,EX,31,24,20
37.0,M,LA,31,24,19
37.0,F,SO,32,26,21
37.0,F,SE,32,26,23
37.0,F,GR,24,20,17
37.0,F,FI,22,17,15
37.0,F,EX,34,26,22
37.0,F,LA,33,26,21
37.5,M,SO,28,22,17
37.5,M,SE,31,26,23
37.5,M,GR,24,21,19
37.5,M,FI,21,17,14
37.5,M,EX,32,24,20
37.5,M,LA,31,25,19
37.5,F,SO,33,27,21
37.5,F,SE,32,27,23
37.5,F,GR,24,20,18
37.5,F,FI,22,18,15
37.5,F,EX,34,27,22
37.5,F,LA,33,27,22
38.0,M,SO,28,22,18
38.0,M,SE,31,27,23
38.0,M,GR,25,21,19
38.0,M,FI,21,17,14
38.0,M,EX,32,25,21
38.0,M,LA,31,25,20
38.0,F,SO,33,27,21
38.0,F,SE,32,27,24
38.0,F,GR,24,21,18
38.0,F,FI,22,18,16
38.0,F,EX,34,28,23
38.0,F,LA,33,27,22
38.5,M,SO,29,23,19
38.5,M,SE,31,27,24
38.5,M,GR,25,21,19
38.5,M,FI,22,18,15
38.5,M,EX,33,25,21
38.5,M,LA,32,26,21
38.5,F,SO,33,27,22
38.5,F,SE,32,27,24
38.5,F,GR,25,21,18
38.5,F,FI,23,18,16
38.5,F,EX,35,29,24
38.5,F,LA,34,28,23
39.0,M,SO,29,24,20
39.0,M,SE,31,27,24
39.0,M,GR,25,22,20
39.0,M,FI,22,18,15
39.0,M,EX,33,26,22
39.0,M,LA,32,26,22
39.0,F,SO,34,28,22
39.0,F,SE,33,28,24
39.0,F,GR,25,21,18
39.0,F,FI,23,19,16
39.0,F,EX,35,29,25
39.0,F,LA,34,29,24
39.5,M,SO,30,25,21
39.5,M,SE,32,28,24
39.5,M,GR,26,22,20
39.5,M,FI,22,18,15
39.5,M,EX,34,26,22
39.5,M,LA,33,27,23
39.5,F,SO,34,28,22
39.5,F,SE,33,28,24
39.5,F,GR,25,21,18
39.5,F,FI,24,19,16
39.5,F,EX,36,30,25
39.5,F,LA,35,29,25
40.0,M,SO,31,26,23
40.0,M,SE,32,28,25
40.0,M,GR,26,23,21
40.0,M,FI,23,18,15
40.0,M,EX,34,27,23
40.0,M,LA,34,28,24
40.0,F,SO,34,28,22
40.0,F,SE,33,28,25
40.0,F,GR,25,21,18
40.0,F,FI,24,19,17
40.0,F,EX,36,30,26
40.0,F,LA,36,30,26
40.5,M,SO,32,27,24
40.5,M,SE,32,28,25
40.5,M,GR,27,23,21
40.5,M,FI,23,18,15
40.5,M,EX,35,28,24
40.5,M,LA,35,29,25
40.5,F,SO,34,28,22
40.5,F,SE,34,28,25
40.5,F,GR,26,21,19
40.5,F,FI,25,19,17
40.5,F,EX,36,30,26
40.5,F,LA,36,30,26
41.0,M,SO,33,28,25
41.0,M,SE,32,28,25
41.0,M,GR,27,24,22
41.0,M,FI,23,18,15
41.0,M,EX,36,29,25
41.0,M,LA,35,29,26
41.0,F,SO,35,29,23
41.0,F,SE,34,29,25
41.0,F,GR,26,22,19
41.0,F,FI,25,20,17
41.0,F,EX,37,31,26
41.0,F,LA,37,31,27
41.5,M,SO,34,29,26
41.5,M,SE,33,29,26
41.5,M,GR,27,24,22
41.5,M,FI,23,18,15
41.5,M,EX,36,30,26
41.5,M,LA,36,30,26
41.5,F,SO,35,29,23
41.5,F,SE,34,29,25
41.5,F,GR,26,22,19
41.5,F,FI,25,20,17
41.5,F,EX,37,31,27
41.5,F,LA,37,31,27
42.0,M,SO,34,29,26
42.0,M,SE,33,29,26
42.0,M,GR,28,25,23
42.0,M,FI,24,19,16
42.0,M,EX,37,30,26
42.0,M,LA,36,30,27
42.0,F,SO,35,29,23
42.0,F,SE,34,29,25
42.0,F,GR,26,22,19
42.0,F,FI,26,20,18
42.0,F,EX,37,31,27
42.0,F,LA,37,31,27
42.5,M,SO,35,30,27
42.5,M,SE,33,29,26
42.5,M,GR,28,25,23
42.5,M,FI,24,19,16
42.5,M,EX,37,31,27
42.5,M,LA,36,30,27
42.5,F,SO,36,30,24
42.5,F,SE,35,30,26
42.5,F,GR,27,22,19
42.5,F,FI,26,20,18
42.5,F,EX,38,32,27
42.5,F,LA,38,32,28
43.0,M,SO,35,30,27
43.0,M,SE,33,29,26
43.0,M,GR,28,25,23
43.0,M,FI,24,19,16
43.0,M,EX,37,31,27
43.0,M,LA,37,31,27
43.0,F,SO,36,30,24
43.0,F,SE,35,30,26
43.0,F,GR,27,23,20
43.0,F,FI,26,20,18
43.0,F,EX,38,32,28
43.0,F,LA,38,32,28
43.5,M,SO,35,30,27
43.5,M,SE,33,29,27
43.5,M,GR,28,26,24
43.5,M,FI,24,19,16
43.5,M,EX,38,31,27
43.5,M,LA,37,31,28
43.5,F,SO,36,30,24
43.5,F,SE,35,30,26
43.5,F,GR,27,23,20
43.5,F,FI,26,21,18
43.5,F,EX,38,32,28
43.5,F,LA,38,32,28
44.0,M,SO,36,31,28
44.0,M,SE,34,30,27
44.0,M,GR,29,26,24
44.0,M,FI,25,20,17
44.0,M,EX,38,32,28
44.0,M,LA,37,31,28
44.0,F,SO,37,31,25
44.0,F,SE,35,30,26
44.0,F,GR,27,23,20
44.0,F,FI,27,21,19
44.0,F,EX,39,33,28
44.0,F,LA,39,33,29
